,frame_num,num_of_faces,percentage
140,4936_frame.jpg,1,[17.2235392345425]
141,1514_frame.jpg,1,[2.595011256727945]
142,6272_frame.jpg,2,"[9.020291929447898, 3.9184222689388855]"
143,6791_frame.jpg,1,[0.763370159979723]
144,584_frame.jpg,0,[]
145,6758_frame.jpg,1,[7.454786718551983]
146,1664_frame.jpg,0,[]
147,1387_frame.jpg,1,[7.454786718551983]
148,3382_frame.jpg,1,[0.7397012121483204]
149,3661_frame.jpg,4,"[7.232820444007097, 3.9184222689388855, 6.038377242027106, 0.4116905965320332]"
150,856_frame.jpg,0,[]
151,4794_frame.jpg,1,[22.830284325565444]
152,4277_frame.jpg,0,[]
153,1452_frame.jpg,0,[]
154,4870_frame.jpg,1,[17.110412846088472]
155,1178_frame.jpg,2,"[1.4762341399412562, 0.6269475630302217]"
156,251_frame.jpg,0,[]
157,3985_frame.jpg,0,[]
158,6044_frame.jpg,0,[]
159,298_frame.jpg,0,[]
160,1949_frame.jpg,2,"[3.6528454920904716, 7.985753902580847]"
161,4041_frame.jpg,0,[]
162,1980_frame.jpg,0,[]
163,4088_frame.jpg,1,[7.086706624323479]
164,6875_frame.jpg,0,[]
165,3457_frame.jpg,0,[]
166,30_frame.jpg,0,[]
167,5876_frame.jpg,0,[]
168,7042_frame.jpg,2,"[10.824536685005443, 4.419943045429471]"
169,2983_frame.jpg,0,[]
170,7568_frame.jpg,0,[]
171,5047_frame.jpg,1,[18.610129564193166]
172,2451_frame.jpg,1,[3.549223956702599]
173,2498_frame.jpg,4,"[0.7397012121483204, 0.9394894962055136, 0.7397012121483204, 0.8617733446646091]"
174,7274_frame.jpg,0,[]
175,2667_frame.jpg,0,[]
176,2384_frame.jpg,0,[]
177,5271_frame.jpg,1,[0.8366134394894962]
178,5792_frame.jpg,1,[0.6487528141819863]
179,2517_frame.jpg,1,[2.8656200146113817]
180,5101_frame.jpg,0,[]
181,7104_frame.jpg,0,[]
182,5930_frame.jpg,0,[]
183,5337_frame.jpg,0,[]
184,2721_frame.jpg,1,[20.295656841257774]
185,7332_frame.jpg,0,[]
186,7618_frame.jpg,0,[]
187,537_frame.jpg,1,[4.362727557364584]
188,6208_frame.jpg,0,[]
189,6722_frame.jpg,0,[]
190,1334_frame.jpg,0,[]
191,3331_frame.jpg,1,[2.6391808680353654]
192,4727_frame.jpg,1,[10.117822904086713]
193,1428_frame.jpg,1,[3.9726558423163514]
194,1102_frame.jpg,0,[]
195,6514_frame.jpg,0,[]
196,3936_frame.jpg,0,[]
197,701_frame.jpg,1,[7.306436462852798]
198,1933_frame.jpg,0,[]
199,4511_frame.jpg,0,[]
200,3107_frame.jpg,0,[]
201,4382_frame.jpg,0,[]
202,4661_frame.jpg,1,[0.787411847147053]
203,3794_frame.jpg,1,[18.49253030370801]
204,3277_frame.jpg,1,[17.910125091321138]
205,1758_frame.jpg,1,[0.4659241699094989]
206,1272_frame.jpg,1,[3.9726558423163514]
207,1791_frame.jpg,1,[0.17910125091321136]
208,6664_frame.jpg,1,[6.173308881632897]
209,6387_frame.jpg,0,[]
210,471_frame.jpg,1,[1.9011569828987194]
211,192_frame.jpg,1,[6.241333810439683]
212,6980_frame.jpg,0,[]
213,3088_frame.jpg,1,[1.1049857613573677]
214,6949_frame.jpg,0,[]
215,3041_frame.jpg,0,[]
216,4457_frame.jpg,0,[]
217,1875_frame.jpg,2,"[3.1013776445855883, 8.29736398741632]"
218,647_frame.jpg,0,[]
219,3870_frame.jpg,1,[1.1927658749683172]
220,6178_frame.jpg,2,"[6.7989518569873715, 3.600848354728571]"
221,6452_frame.jpg,0,[]
222,1044_frame.jpg,1,[0.16773270116741962]
223,4985_frame.jpg,1,[22.830284325565444]
224,2047_frame.jpg,1,[9.102480953019935]
225,5498_frame.jpg,0,[]
226,5451_frame.jpg,0,[]
227,7454_frame.jpg,0,[]
228,2876_frame.jpg,0,[]
229,5983_frame.jpg,1,[1.681986253373291]
230,5667_frame.jpg,0,[]
231,5384_frame.jpg,0,[]
232,2271_frame.jpg,0,[]
233,2792_frame.jpg,1,[14.299958253194376]
234,7348_frame.jpg,0,[]
235,7381_frame.jpg,0,[]
236,7662_frame.jpg,0,[]
237,83_frame.jpg,0,[]
238,7038_frame.jpg,0,[]
239,2930_frame.jpg,0,[]
240,7512_frame.jpg,0,[]
241,5517_frame.jpg,1,[0.8118262736503108]
242,2101_frame.jpg,0,[]
243,7724_frame.jpg,0,[]
244,2337_frame.jpg,1,[0.6055150512143848]
245,5721_frame.jpg,1,[1.4106320168179987]
246,1535_frame.jpg,1,[0.8366134394894962]
247,4917_frame.jpg,0,[]
248,336_frame.jpg,0,[]
249,6409_frame.jpg,2,"[6.517160919026106, 0.8118262736503108]"
250,6123_frame.jpg,1,[0.36081167717791596]
251,4126_frame.jpg,0,[]
252,6912_frame.jpg,0,[]
253,3530_frame.jpg,0,[]
254,6315_frame.jpg,1,[9.351284459751605]
255,100_frame.jpg,1,[3.8645614348973476]
256,1229_frame.jpg,1,[0.523512397310313]
257,1703_frame.jpg,0,[]
258,931_frame.jpg,1,[1.3150243771525696]
259,3706_frame.jpg,0,[]
260,4310_frame.jpg,0,[]
261,3195_frame.jpg,1,[6.727945013493164]
262,3476_frame.jpg,0,[]
263,6854_frame.jpg,1,[15.244293360766948]
264,4583_frame.jpg,0,[]
265,1968_frame.jpg,0,[]
266,4060_frame.jpg,0,[]
267,6065_frame.jpg,0,[]
268,6586_frame.jpg,0,[]
269,270_frame.jpg,3,"[0.763370159979723, 0.4847475063738426, 0.6709308046696785]"
270,793_frame.jpg,0,[]
271,4851_frame.jpg,1,[18.25845000074548]
272,1159_frame.jpg,0,[]
273,4898_frame.jpg,1,[13.889944983674015]
274,1473_frame.jpg,0,[]
275,1190_frame.jpg,2,"[15.565781038004504, 5.322904086714079]"
276,4256_frame.jpg,0,[]
277,3689_frame.jpg,1,[11.648104247737471]
278,3640_frame.jpg,0,[]
279,877_frame.jpg,0,[]
280,1645_frame.jpg,0,[]
281,6779_frame.jpg,1,[8.85703210031161]
