,frame_num,num_of_faces,percentage
148,5047_frame.jpg,0,[]
149,2451_frame.jpg,0,[]
150,2498_frame.jpg,1,[10.946969696969697]
151,2667_frame.jpg,0,[]
152,2384_frame.jpg,0,[]
153,5271_frame.jpg,1,[2.900094696969697]
154,5792_frame.jpg,1,[22.160422585227273]
155,2517_frame.jpg,0,[]
156,5101_frame.jpg,1,[2.025479403409091]
157,5930_frame.jpg,1,[29.16903409090909]
158,5337_frame.jpg,1,[1.7258522727272727]
159,2721_frame.jpg,0,[]
160,537_frame.jpg,0,[]
161,6208_frame.jpg,0,[]
162,1334_frame.jpg,1,[4.531397964015151]
163,3331_frame.jpg,0,[]
164,4727_frame.jpg,0,[]
165,1428_frame.jpg,0,[]
166,1102_frame.jpg,2,"[2.4622691761363638, 0.7250236742424242]"
167,3936_frame.jpg,1,[17.919034090909093]
168,701_frame.jpg,3,"[0.48073508522727276, 3.7406782670454546, 0.8546401515151516]"
169,1933_frame.jpg,0,[]
170,4511_frame.jpg,0,[]
171,3107_frame.jpg,1,[0.946969696969697]
172,4382_frame.jpg,1,[18.229314630681817]
173,4661_frame.jpg,0,[]
174,3794_frame.jpg,1,[4.847449100378788]
175,3277_frame.jpg,2,"[8.101917613636363, 2.0602509469696972]"
176,1758_frame.jpg,0,[]
177,1272_frame.jpg,1,[0.5150627367424243]
178,1791_frame.jpg,0,[]
179,6387_frame.jpg,0,[]
180,471_frame.jpg,1,[0.9234434185606062]
181,192_frame.jpg,0,[]
182,3088_frame.jpg,1,[0.46401515151515155]
183,3041_frame.jpg,0,[]
184,4457_frame.jpg,0,[]
185,1875_frame.jpg,0,[]
186,647_frame.jpg,1,[7.226710464015151]
187,3870_frame.jpg,0,[]
188,6178_frame.jpg,0,[]
189,6452_frame.jpg,0,[]
190,1044_frame.jpg,3,"[0.4475911458333333, 0.3848544034090909, 0.7670454545454546]"
191,4985_frame.jpg,0,[]
192,2047_frame.jpg,1,[4.377367424242425]
193,5498_frame.jpg,1,[3.284949100378788]
194,5451_frame.jpg,0,[]
195,2876_frame.jpg,1,[13.494910037878787]
196,5983_frame.jpg,0,[]
197,5667_frame.jpg,4,"[1.1720229640151516, 1.044034090909091, 2.3119377367424243, 1.6313032670454544]"
198,5384_frame.jpg,0,[]
199,2271_frame.jpg,1,[3.197354403409091]
200,2792_frame.jpg,4,"[2.9835464015151514, 1.1458333333333333, 1.069040009469697, 0.9002130681818182]"
201,83_frame.jpg,0,[]
202,2930_frame.jpg,1,[0.3699100378787879]
203,5517_frame.jpg,1,[6.3401100852272725]
204,2101_frame.jpg,0,[]
205,2337_frame.jpg,0,[]
206,5721_frame.jpg,0,[]
207,1535_frame.jpg,1,[0.49775094696969696]
208,4917_frame.jpg,0,[]
209,336_frame.jpg,2,"[21.591500946969695, 25.852864583333336]"
210,6409_frame.jpg,0,[]
211,6123_frame.jpg,0,[]
212,4126_frame.jpg,2,"[26.350023674242422, 1.956824100378788]"
213,3530_frame.jpg,0,[]
214,6315_frame.jpg,0,[]
215,100_frame.jpg,0,[]
216,1229_frame.jpg,2,"[2.4622691761363638, 0.6841856060606061]"
217,1703_frame.jpg,1,[0.7670454545454546]
218,931_frame.jpg,1,[7.161458333333333]
219,3706_frame.jpg,1,[0.35526160037878785]
220,4310_frame.jpg,1,[0.8546401515151516]
221,3195_frame.jpg,1,[0.7670454545454546]
222,3476_frame.jpg,0,[]
223,4583_frame.jpg,2,"[0.3699100378787879, 0.40009469696969696]"
224,1968_frame.jpg,0,[]
225,4060_frame.jpg,0,[]
226,6065_frame.jpg,2,"[2.386511600378788, 0.7250236742424242]"
227,270_frame.jpg,1,[18.437647964015152]
228,793_frame.jpg,0,[]
229,4851_frame.jpg,0,[]
230,1159_frame.jpg,1,[1.1720229640151516]
231,4898_frame.jpg,0,[]
232,1473_frame.jpg,0,[]
233,1190_frame.jpg,1,[8.593897964015152]
234,4256_frame.jpg,0,[]
235,3689_frame.jpg,0,[]
236,3640_frame.jpg,2,"[2.7367424242424243, 2.777136600378788]"
237,877_frame.jpg,0,[]
238,1645_frame.jpg,0,[]
239,6253_frame.jpg,0,[]
240,5299_frame.jpg,1,[22.852894176136363]
241,5250_frame.jpg,1,[10.946969696969697]
242,2646_frame.jpg,1,[0.8772786458333333]
243,2470_frame.jpg,0,[]
244,2193_frame.jpg,0,[]
245,5066_frame.jpg,0,[]
246,5585_frame.jpg,0,[]
247,11_frame.jpg,0,[]
248,5857_frame.jpg,0,[]
249,2700_frame.jpg,0,[]
250,5316_frame.jpg,0,[]
251,5911_frame.jpg,2,"[0.6841856060606061, 0.35526160037878785]"
252,5120_frame.jpg,1,[8.241003787878789]
253,2536_frame.jpg,0,[]
254,3126_frame.jpg,1,[3.6937736742424248]
255,4530_frame.jpg,1,[1.9910037878787878]
256,1912_frame.jpg,0,[]
257,3917_frame.jpg,0,[]
258,720_frame.jpg,0,[]
259,1123_frame.jpg,2,"[0.810250946969697, 0.415630918560606]"
260,1409_frame.jpg,0,[]
261,4706_frame.jpg,1,[25.976710464015152]
262,3310_frame.jpg,1,[8.809185606060606]
263,1315_frame.jpg,0,[]
264,516_frame.jpg,0,[]
265,6229_frame.jpg,0,[]
266,1065_frame.jpg,1,[18.857865767045453]
267,1586_frame.jpg,0,[]
268,3898_frame.jpg,1,[0.8546401515151516]
